id,parent_id,label,stage,sku_num,image,all_sku_num
1734347911100000219,3,ESPE,2,0,,50
1736734143542123966,3,E-Weichat,2,0,,47
9521,3,FUJI,2,0,,614
9524,3,Festo,2,0,,22308
9543,3,FANUC,2,0,,214
9554,3,Fatek,2,0,,0
12369,3,Fluke,2,0,,181
12852,3,FULLTECH,2,0,,0
17482,3,Flir,2,0,,0
44121,3,FOXWELL,2,0,,15
1720767834712801448,3,Fans-tech,2,0,,20
1722675185858098025,3,FM,2,0,,324
1724637181110898025,3,FMC,2,0,,99
1726645987276744205,3,FCHAO,2,0,,29
1727486702418656346,3,Fei li,2,0,,52
1729586791326104643,3,fenghua,2,0,,0
1729937892236372424,3,FH,2,0,,19
1732584930542394518,3,FESTO Products,2,0,,1387
1732702442951859173,3,FangNuo,2,0,,56
1733991235538923242,3,Finder,2,0,,233
1734418001200674111,3,FIFE sensor,2,0,,4
1734675097320062538,3,Freescale,2,0,,1
1735781029817683245,3,FSD-compensating line,2,0,,144
1737341531769722651,3,FOTEK,2,0,,103
23010,3,Grayhill,2,0,,3724
24294,3,GW Instek,2,0,,114
25351,3,GONEO,2,0,,155
28039,3,Gimatic,2,0,,3883
35470,3,GSEE,2,0,,1783
41183,3,Gw-tools,2,0,,52
41295,3,Gwpstools,2,0,,416
43492,3,Galxy Microelectronics,2,0,,0
43614,3,Gelinxing,2,0,,16
44531,3,Gxy,2,0,,3
44777,3,Guangjie Cable,2,0,,33
44988,3,Green,2,0,,0
45600,3,GREENER,2,0,,763
45784,3,GZRHDZ,2,0,,40
1716011856317524046,3,GODIAG,2,0,,29
1718270668053630228,3,GZZY,2,0,,35
1721270556966021027,3,GEYA,2,0,,35
1726019431730036968,3,GD,2,0,,201
1726103383955238434,3,Growatt,2,0,,27
1732154749672446331,3,Graphics Card,2,0,,0
1732184667603496105,3,Gates,2,0,,17
1735609417510534330,3,GZHJ,2,0,,3
12861,3,Hollysys,2,0,,0
13117,3,Heidenhain,2,0,,1123
14704,3,Hiconics,2,0,,126
16084,3,HEROJE,2,0,,3
34732,3,Hager,2,0,,2120
39005,3,HONGFA,2,0,,15
39409,3,HUI DA,2,0,,22
39577,3,HUAshengtong,2,0,,24
41998,3,Haoxiang,2,0,,0
43307,3,Heideng,2,0,,16
43704,3,HUMZOR,2,0,,31
43783,3,HRNRICH,2,0,,0
44829,3,Huijun,2,0,,0
44900,3,Huijunterminal,2,0,,0
44996,3,HGS,2,0,,290
1715926253626763177,3,Hao Xiang,2,0,,1585
1716546325741145459,3,HUALI GROUP,2,0,,244
1716863944700624366,3,Hiwin,2,0,,196
1716885932286346408,3,HUATO,2,0,,47
1719629716965052109,3,HONGRAX,2,0,,2
1720234476715383394,3,HZ-xrkj,2,0,,28
1720490694070815524,3,Honeywell,2,0,,100
1721271327462880111,3,HIRSCHMANN,2,0,,20
1721894772454937430,3,HuiD,2,0,,44
1727056753671200278,3,HXJ,2,0,,84
1728976914249919200,3,Hua heng jia,2,0,,7
1729671280981968415,3,hot-sale products,2,0,,0
1731307045429206869,3,HanDun,2,0,,12
1731460763142869978,3,HZSK,2,0,,1
1731637354887792970,3,HOUDELEI,2,0,,1
1731913746041191400,3,HUBA,2,0,,1
1732357332180244849,3,HiTos,2,0,,66
1733110956808494394,3,HONGye,2,0,,9
1733380716691039596,3,Hytera,2,0,,1
1733535525443463095,3,HS,2,0,,60
1733541072684150321,3,HUCHDQ,2,0,,20
1733542658890244461,3,HONGHF,2,0,,0
1733564735100001969,3,Hua jie,2,0,,64
1733982483515151587,3,HIKROBOT,2,0,,298
1734407633984033240,3,Handcart,2,154,,154
1734591220827524757,3,HENGZHU,2,0,,36
1735292314846050123,3,HYX,2,0,,572
1736410024037009274,3,HongSH,2,0,,42
1736489165559016988,3,Helukabel,2,0,,417
9507,3,Infineon,2,0,,464
9533,3,Invt,2,0,,791
9534,3,Inovance,2,0,,1290
9553,3,IFM,2,0,,11800
13109,3,IC,2,0,,1816
13771,3,IDEC,2,0,,29783
18831,3,Invertek,2,0,,767
36626,3,Ipf electronic,2,0,,0
44124,3,Inhand,2,0,,0
1718101082152922042,3,IPCTECH,2,0,,61
1719629063160146106,3,IXYS,2,0,,5
1729937283764463874,3,ISCOMTP,2,0,,21
1735354482745789953,3,Insize,2,0,,77
40896,3,JING xing,2,0,,12
41176,3,Jinhuawanfeng,2,0,,2
41934,3,Jiangyang,2,0,,31
43904,3,Jingmikeji,2,0,,244
44235,3,JDIAG,2,0,,18
44983,3,Jing Lin,2,0,,91
1717377090081025791,3,JCDY,2,0,,38
1719472859077969167,3,JACK,2,0,,2
1720165508299534035,3,JFS,2,0,,4001
1724660240100001956,3,JC,2,0,,167
1724754552183855550,3,JHGD,2,0,,109
1724895258340599220,3,JING GU,2,0,,0
1725431745587187432,3,Jiapin,2,0,,46
1731390736619637951,3,JS-WYD,2,0,,13
1732086589148167943,3,jj,2,0,,0
1732789311354231625,3,JINSU,2,0,,175
1733119751235318994,3,JUNHUI,2,0,,18
1734415785004165789,3,JY-compensating line,2,0,,77
1735184530408021746,3,JINBUAN,2,0,,10
1736159144247150850,3,JIUJI,2,0,,4
1737455897698036471,3,JMC,2,0,,1
1737509989662434127,3,Jinglian News,2,0,,204
1737515890362756547,3,JZ- encoder,2,0,,18
9515,3,Keyence,2,0,,7601
12757,3,Kollmorgen,2,0,,0
12858,3,Kaku,2,0,,7
13079,3,KUKA,2,0,,265
14218,3,KEMET,2,0,,828
14236,3,Kuebler,2,0,,86
15500,3,Krohne,2,0,,423
28085,3,KEMATION,2,0,,9964
36187,3,Kyocera-avx,2,0,,35200
43476,3,KANGWEI,2,0,,602
43493,3,Kaihong,2,0,,0
43617,3,Konnwei,2,0,,42
43632,3,KINGBOLEN,2,0,,43
44467,3,KGKJZDH,2,0,,20
44749,3,KW-KEJI,2,0,,26
1718703843462377696,3,KangWei,2,0,,13
1719388377562066106,3,Kinco,2,0,,20
1722048973602792679,3,KIVIKEY,2,0,,7
1724915397752038689,3,Kacon,2,0,,18
1725873068645674086,3,Kernal,2,0,,670
1726102660649775356,3,Kunlun,2,0,,56
1728468848025838891,3,KELU,2,0,,867
1729937591683853764,3,KSR,2,0,,266
1730191046489491975,3,KYK,2,0,,425
1734775653464343983,3,KSS,2,0,,235
1735293166118453138,3,Kitagawa,2,0,,1
1736229428468908721,3,KL-encoder,2,0,,30
1736323434729763585,3,Kernal product,2,0,,0
9510,3,Lenze,2,0,,598
9527,3,Leuze,2,0,,6654
9530,3,LS,2,0,,0
17580,3,Lika,2,0,,174
34740,3,Lovato electric,2,0,,0
36812,3,Lumberg,2,0,,174
37666,3,Leadshine,2,0,,0
41873,3,LQFR,2,0,,138
41982,3,Lefivo,2,0,,8
41992,3,LQ QJSN,2,0,,77
43673,3,LAUNCH,2,0,,14
44273,3,Littelfuse,2,0,,2100
44898,3,Lianxin,2,0,,31
1716801929955287250,3,Lonsdor,2,0,,8
1721632971265419000,3,LANBOO,2,0,,50
1722830310171072959,3,LANBAO,2,0,,333
1726799428703373314,3,LEGO,2,0,,3
1729327035207998488,3,Lan Tong,2,0,,10
1730874875186029003,3,LQ-Reduced motor,2,0,,90
1731381806100002467,3,Ling ke,2,0,,227
1732327264100000814,3,LAPP,2,0,,63
1733798863734893578,3,LK-clutch,2,0,,21
1733996545400314415,3,LZ,2,0,,68
1734141229166819842,3,LJ,2,0,,143
1734317778305503892,3,Ling dian,2,0,,33
1734578469909481295,3,Li wei,2,0,,42
1736144581403786729,3,LICHUAN,2,0,,22
1736912261852022327,3,LUTZE,2,0,,1
9512,3,Minebea,2,0,,118
9514,3,Mitsubishi,2,0,,3451
9520,3,MURR,2,0,,34178
9525,3,MEAN WELL,2,0,,0
12835,3,Mech mind,2,0,,9
13768,3,MOXA,2,0,,234
15508,3,Marinco,2,0,,0
23726,3,Molex,2,0,,1255
25093,3,MultiDimension,2,0,,144
25105,3,Maiwe,2,0,,408
27078,3,Metallux,2,0,,6404
28670,3,MENNEKES,2,0,,567
28856,3,MORNSUN,2,0,,3313
28860,3,Moso,2,0,,267
33725,3,Murata,2,0,,10729
39287,3,MINGsheng,2,0,,66
39451,3,MOONS,2,0,,792
41163,3,MMHJ,2,0,,10
41673,3,Meiyi,2,0,,49
41987,3,Meijie,2,0,,17
43250,3,Mianshuo,2,0,,17
43276,3,Mejoy,2,0,,60
1716271349610417347,3,Microsensor,2,0,,105
1720078336929681174,3,MW-KG,2,0,,71
1720685350257433723,3,MiR,2,0,,10
1720836624342251307,3,Mige,2,0,,95
1724295938947892119,3,MSA,2,0,,0
1725463447976800446,3,MISUMI,2,0,,931
1726731801014921000,3,Made in China,2,0,,314
1732160479874906636,3,moons,2,0,,415
1733366737767717971,3,MLINE,2,0,,113
1733381964138560875,3,Mitutoyo,2,0,,481
1735123575843292375,3,Mestek,2,0,,0
1735266951890232609,3,Marvtech,2,0,http://kernal-1256119944.cos.ap-guangzhou.myqcloud.com/676e12e7bef3e.png,2
1736232308875669210,3,MIDORI,2,0,,13
1736755693619252771,3,Mydao,2,0,,26
1737171104945315989,3,M-System,2,0,,15
1737185831365979070,3,Miyachi,2,0,,3
12851,3,NIDEC,2,0,,53
17409,3,NORGREN,2,0,,13491
17450,3,Nord,2,0,,32
33812,3,NKK,2,0,,1312
1715934732032943373,3,NETCORE,2,0,,0
1716621979251141329,3,NULL,2,0,,0
1720161174917666207,3,NCT,2,0,,25
1729937920100001848,3,NHP,2,0,,27
1732875972457249551,3,NUOMI,2,0,,86
1733306341716167463,3,Nemicon,2,0,,69
1734082336963559786,3,NTN,2,0,,17
9526,3,Omron,2,0,,5732
9551,3,OPTIBELT,2,0,,0
36684,3,OTTO,2,0,,140
39145,3,Onsemi,2,0,,0
40221,3,Onsemi,2,0,,0
41170,3,Ouhu,2,0,,6
45633,3,OBDPROG,2,0,,5
1716459314807971203,3,OBDSTAR,2,0,,19
1717149244474985159,3,OUER,2,0,,0
1718776246741362162,3,OYS,2,0,,439
1722852058825373739,3,ODOT,2,0,,0
1732702671183602679,3,ONLIVE,2,0,,31
1732863821783296232,3,OBANM,2,0,,56
9516,3,Panasonic,2,0,,2672
9523,3,Phoenix,2,0,,38688
9532,3,PILZ,2,0,,1457
9552,3,Pepperl-fuchs,2,0,,227
11223,3,Proface,2,0,,389
12856,3,Protechnic,2,0,,0
16117,3,Parker,2,0,,32071
23868,3,POSITAL / FRABA,2,0,,17246
24731,3,PCB,2,0,,704
34741,3,PULS,2,0,,40
35652,3,Polyphaser,2,0,,2114
38956,3,PUSR,2,0,,101
39321,3,powerld,2,0,,88
39494,3,PC,2,0,,70
1716797929780677301,3,PSA,2,0,,75176
1725676390329550288,3,PIESIA,2,0,,35
1725852836334507488,3,piab,2,0,,5
1726035414884786401,3,PowMr,2,0,,22
1730259607541013595,3,PROCON,2,0,,11
1731893212466399161,3,PATLITE,2,0,,12
1732098105330215941,3,Phoenix Futures,2,0,,41
1733192333413841765,3,Phoenix-contact,2,0,,1996
1733898904320909756,3,PMI,2,0,,81
1734345749615849356,3,PERICOM,2,0,,1
1735270709100000775,3,PINTONTECK,2,0,,3
43280,3,Quanjia,2,0,,20
43328,3,Qiaoshen,2,0,,15
44923,3,Qiante,2,0,,55
1727080974873902181,3,Qi Li,2,0,,38
1729320542378021841,3,Quan Lai De,2,0,,21
1729836820741983171,3,QiChip,2,0,,19
1732935167234935335,3,Qing liang,2,0,,62
1733385195100001523,3,QiCH,2,0,,0
1734314886770764513,3,QS-BCX,2,0,,165
9544,3,Rockwell,2,0,,3537
9549,3,REXROTH,2,0,,5252
13770,3,Rittal,2,0,,5285
33704,3,RENESAS,2,0,,226
34786,3,REER,2,0,,2736
36717,3,ROHM,2,0,,7589
39081,3,RR,2,0,,22
40751,3,Ri xiang,2,0,,412
40883,3,RUI ma,2,0,,10
43517,3,Recom,2,0,,0
43567,3,Rubycon,2,0,,8045
43574,3,RESI,2,0,,2513
1720249695070338865,3,RFCCHA,2,0,,12
1721183900211102923,3,RY-ELE,2,0,,279
1726640561232265488,3,RGH,2,0,,45
1728956859531365346,3,Risym,2,0,,20
1729479489646831840,3,RIH,2,0,,590
1734918392840103346,3,RY-relay module,2,0,,32
1736154437715479128,3,RZ,2,0,,3
1736844915664808486,3,raise 3D,2,0,,10
9505,3,Siemens,2,0,,9943
9506,3,Semikron,2,0,,218
9518,3,SEW,2,0,,59
9531,3,SMC,2,0,,524
9535,3,SICK,2,0,,8471
9536,3,Schneider,2,0,,17491
10649,3,Schmersal,2,0,,3469
12662,3,Santak,2,0,,0
12846,3,SANJU,2,0,,0
12848,3,SANYO DENKI,2,0,,0
12850,3,SUNON,2,0,,0
12853,3,SHYUAN YA,2,0,,0
13787,3,Staubli,2,0,,103
16322,3,Sor,2,0,,14
33667,3,Sanwa,2,0,,183
36339,3,SENECA,2,0,,52
37686,3,SunMate,2,0,,0
39097,3,SIPU,2,0,,95
40760,3,sodron,2,0,,377
41643,3,Solude,2,0,,11
41686,3,Shun zhen,2,0,,20
41969,3,SZGJ,2,0,,34
41975,3,SLANRRY,2,0,,3
42411,3,Siyi,2,0,,16
43354,3,Swagelok,2,0,,0
43543,3,slkor,2,0,,938
43701,3,SZaxr,2,0,,36
44014,3,SZLG-lxsm,2,0,,19
44017,3,SUZst,2,0,,107
44040,3,SZQJXKJ,2,0,,12
44068,3,SZ-YWDY,2,0,,20
44262,3,SZYWDY,2,0,,0
44530,3,Sonzo,2,0,,20
44791,3,Stouch,2,0,,75
44828,3,ShenTuo,2,0,,0
45578,3,Sente,2,0,,87
45601,3,SATA,2,0,,723
45602,3,STANLEY,2,0,,162
45637,3,Semiconductor chips,2,0,,448
1717379081550174391,3,SHHAPQ,2,0,,72
1717726335680453583,3,SHANGH-TQ,2,0,,5
1718099595441222489,3,SIKEQI,2,0,,249
1719567485871657012,3,servo motor,2,0,,1023
1719818288427855467,3,shinko,2,0,,64
1721462489447723063,3,SZYZT,2,0,,99
1721879921082947279,3,SHIMADEN,2,0,,28
1722065026688361395,3,Schaffner,2,0,,635
1723285294643343407,3,SZJGBDT,2,0,,907
1723430720439306612,3,SKF,2,0,,824
1724311651952726678,3,SLDL,2,0,,37
1725421372736249780,3,Sumry,2,0,,103
1726223300323364101,3,SAEF,2,0,,36
1727493298586137273,3,STARTEK,2,0,,332
1729495363808472818,3,ST,2,0,,0
1730278181870103284,3,SBT,2,0,,0
1730425698100000459,3,SH-QXDZ,2,0,,20
